payment_id,order_id,seller_id,expected_payout,actual_payout,discrepancy_flag,discrepancy_amt,settlement_date,settlement_cycle,status,discrepancy_pct,discrepancy_severity,risk_score,severity_tier
PAY000038029,ORD000048738,S00313,5317.04,2279.14,1,3037.9,2023-07-30 15:59:00,W30,disputed,57.14,critical,0.4223,Critical (>30%)
PAY000081843,ORD000104785,S00116,5854.87,2547.55,1,3307.32,2023-12-06 06:23:00,W49,disputed,56.49,critical,0.4216,Critical (>30%)
PAY000090311,ORD000115566,S00063,9852.23,4683.47,1,5168.76,2023-03-08 16:15:00,W10,disputed,52.46,critical,0.42,Critical (>30%)
PAY000064657,ORD000082745,S00104,3389.88,1392.65,1,1997.23,2023-11-05 08:44:00,W44,disputed,58.92,critical,0.42,Critical (>30%)
PAY000020472,ORD000026199,S00416,2671.2,1077.27,1,1593.93,2023-11-01 15:19:00,W44,disputed,59.67,critical,0.4195,Critical (>30%)
PAY000103927,ORD000133005,S00465,3883.81,1622.77,1,2261.04,2023-10-25 14:33:00,W43,disputed,58.22,critical,0.4189,Critical (>30%)
PAY000040016,ORD000051273,S00460,3501.16,1448.19,1,2052.97,2023-09-08 09:06:00,W36,disputed,58.64,critical,0.4189,Critical (>30%)
PAY000114106,ORD000146074,S00297,4003.17,1679.59,1,2323.58,2024-04-06 13:09:00,W14,disputed,58.04,critical,0.4186,Critical (>30%)
PAY000067339,ORD000086166,S00262,4097.54,1723.68,1,2373.86,2023-09-01 17:45:00,W35,disputed,57.93,critical,0.4185,Critical (>30%)
PAY000089715,ORD000114828,S00342,2926.11,1195.01,1,1731.1,2024-03-18 15:48:00,W12,disputed,59.16,critical,0.418,Critical (>30%)
PAY000027798,ORD000035633,S00359,6817.65,3064.46,1,3753.19,2024-06-19 09:11:00,W25,disputed,55.05,critical,0.418,Critical (>30%)
PAY000065413,ORD000083715,S00428,6534.71,2921.32,1,3613.39,2023-11-28 05:20:00,W48,disputed,55.3,critical,0.4178,Critical (>30%)
PAY000035677,ORD000045724,S00026,2847.46,1161.1,1,1686.36,2023-05-29 14:48:00,W22,disputed,59.22,critical,0.4178,Critical (>30%)
PAY000061321,ORD000078466,S00233,21718.78,12286.42,1,9432.36,2023-12-26 02:36:00,W52,disputed,43.43,critical,0.4177,Critical (>30%)
PAY000095590,ORD000122368,S00424,9064.1,4271.46,1,4792.64,2023-04-21 00:26:00,W16,disputed,52.87,critical,0.4176,Critical (>30%)
PAY000072984,ORD000093398,S00399,3242.91,1339.83,1,1903.08,2024-02-26 17:28:00,W9,disputed,58.68,critical,0.4171,Critical (>30%)
PAY000029816,ORD000038208,S00382,2182.48,875.82,1,1306.66,2023-06-16 11:01:00,W24,disputed,59.87,critical,0.4169,Critical (>30%)
PAY000109467,ORD000140109,S00261,2047.85,819.25,1,1228.6,2023-08-21 21:46:00,W34,disputed,59.99,critical,0.4167,Critical (>30%)
PAY000072948,ORD000093343,S00075,4119.97,1749.69,1,2370.28,2023-06-22 22:08:00,W25,disputed,57.53,critical,0.4158,Critical (>30%)
PAY000074829,ORD000095745,S00343,4271.99,1823.6,1,2448.39,2024-04-24 23:40:00,W17,disputed,57.31,critical,0.4154,Critical (>30%)
PAY000052951,ORD000067763,S00425,13420.29,6856.06,1,6564.23,2024-07-20 11:52:00,W29,disputed,48.91,critical,0.4153,Critical (>30%)
PAY000029831,ORD000038231,S00212,2637.31,1078.58,1,1558.73,2024-03-26 03:56:00,W13,disputed,59.1,critical,0.4152,Critical (>30%)
PAY000094747,ORD000121301,S00494,2772.81,1139.38,1,1633.43,2024-06-07 01:04:00,W23,disputed,58.91,critical,0.415,Critical (>30%)
PAY000039735,ORD000050930,S00358,2338.82,950.06,1,1388.76,2023-09-22 11:39:00,W38,disputed,59.38,critical,0.4148,Critical (>30%)
PAY000099018,ORD000126798,S00223,3491.25,1464.14,1,2027.11,2023-07-08 21:42:00,W27,disputed,58.06,critical,0.4147,Critical (>30%)
PAY000112601,ORD000144123,S00144,3138.2,1304.25,1,1833.95,2023-05-08 07:06:00,W19,disputed,58.44,critical,0.4146,Critical (>30%)
PAY000036141,ORD000046305,S00249,4177.93,1785.63,1,2392.3,2023-02-01 19:45:00,W5,disputed,57.26,critical,0.4143,Critical (>30%)
PAY000052148,ORD000066753,S00416,2735.69,1126.63,1,1609.06,2024-04-09 16:41:00,W15,disputed,58.82,critical,0.4141,Critical (>30%)
PAY000080760,ORD000103399,S00124,6980.91,3186.29,1,3794.62,2023-01-14 19:41:00,W2,disputed,54.36,critical,0.414,Critical (>30%)
PAY000054455,ORD000069699,S00284,3532.15,1488.31,1,2043.84,2023-10-29 17:06:00,W43,disputed,57.86,critical,0.4136,Critical (>30%)
PAY000030812,ORD000039506,S00244,5721.24,2544.71,1,3176.53,2023-10-18 05:57:00,W42,disputed,55.52,critical,0.4133,Critical (>30%)
PAY000074711,ORD000095606,S00450,1954.12,789.43,1,1164.69,2023-09-14 00:17:00,W37,disputed,59.6,critical,0.4132,Critical (>30%)
PAY000102638,ORD000131365,S00143,18179.73,9958.25,1,8221.48,2023-11-29 05:09:00,W48,disputed,45.22,critical,0.4132,Critical (>30%)
PAY000106194,ORD000135892,S00096,2002.29,810.42,1,1191.87,2023-11-23 14:38:00,W47,disputed,59.53,critical,0.4131,Critical (>30%)
PAY000011011,ORD000014076,S00212,2011.32,814.62,1,1196.7,2024-02-24 07:06:00,W8,disputed,59.5,critical,0.413,Critical (>30%)
PAY000066725,ORD000085394,S00026,2173.9,884.48,1,1289.42,2023-11-19 13:57:00,W46,disputed,59.31,critical,0.413,Critical (>30%)
PAY000028597,ORD000036657,S00016,2067.62,838.53,1,1229.09,2023-06-17 07:45:00,W24,disputed,59.44,critical,0.413,Critical (>30%)
PAY000075173,ORD000096193,S00389,10160.42,4951.32,1,5209.1,2023-08-29 11:33:00,W35,disputed,51.27,critical,0.4126,Critical (>30%)
PAY000067947,ORD000086935,S00064,2658.51,1098.46,1,1560.05,2023-06-16 05:41:00,W24,disputed,58.68,critical,0.4125,Critical (>30%)
PAY000083537,ORD000106945,S00374,9733.4,4712.25,1,5021.15,2023-02-24 20:49:00,W8,disputed,51.59,critical,0.4122,Critical (>30%)
PAY000102472,ORD000131146,S00351,2872.61,1194.91,1,1677.7,2024-06-30 19:00:00,W26,disputed,58.4,critical,0.4122,Critical (>30%)
PAY000076483,ORD000097885,S00291,3795.23,1620.21,1,2175.02,2023-03-09 23:35:00,W10,disputed,57.31,critical,0.4117,Critical (>30%)
PAY000016416,ORD000021045,S00283,4897.71,2150.56,1,2747.15,2024-01-09 10:17:00,W2,disputed,56.09,critical,0.4113,Critical (>30%)
PAY000048608,ORD000062206,S00412,1700.92,689.01,1,1011.91,2024-02-22 00:06:00,W8,disputed,59.49,critical,0.4104,Critical (>30%)
PAY000107932,ORD000138147,S00063,1980.53,808.79,1,1171.74,2024-05-13 09:13:00,W20,disputed,59.16,critical,0.4104,Critical (>30%)
PAY000075350,ORD000096409,S00326,3304.6,1400.04,1,1904.56,2024-02-11 06:44:00,W6,disputed,57.63,critical,0.4101,Critical (>30%)
PAY000084801,ORD000108556,S00071,4663.06,2045.36,1,2617.7,2023-11-13 18:08:00,W46,disputed,56.14,critical,0.4099,Critical (>30%)
PAY000116449,ORD000149082,S00258,4720.58,2073.86,1,2646.72,2024-03-02 09:36:00,W9,disputed,56.07,critical,0.4098,Critical (>30%)
PAY000065223,ORD000083481,S00166,1927.33,787.5,1,1139.83,2023-08-05 05:46:00,W31,disputed,59.14,critical,0.4098,Critical (>30%)
PAY000094482,ORD000120977,S00410,1247.68,499.84,1,747.84,2023-09-06 08:01:00,W36,disputed,59.94,critical,0.4098,Critical (>30%)
PAY000053130,ORD000067992,S00240,9619.17,4680.77,1,4938.4,2023-02-15 02:20:00,W7,disputed,51.34,critical,0.4094,Critical (>30%)
PAY000088025,ORD000112664,S00345,9615.24,4682.98,1,4932.26,2023-05-12 10:35:00,W19,disputed,51.3,critical,0.4091,Critical (>30%)
PAY000002949,ORD000003748,S00446,1301.64,523.64,1,778.0,2024-04-25 14:32:00,W17,disputed,59.77,critical,0.4091,Critical (>30%)
PAY000039769,ORD000050978,S00124,3619.99,1553.76,1,2066.23,2024-05-02 08:24:00,W18,disputed,57.08,critical,0.4087,Critical (>30%)
PAY000005158,ORD000006601,S00403,1207.98,485.47,1,722.51,2024-01-22 00:03:00,W4,disputed,59.81,critical,0.4086,Critical (>30%)
PAY000090294,ORD000115546,S00253,3151.53,1337.16,1,1814.37,2023-05-19 16:21:00,W20,disputed,57.57,critical,0.4085,Critical (>30%)
PAY000099737,ORD000127684,S00078,29809.38,18450.26,1,11359.12,2023-08-16 11:34:00,W33,disputed,38.11,critical,0.4084,Critical (>30%)
PAY000098744,ORD000126470,S00088,2278.19,944.7,1,1333.49,2023-09-18 02:04:00,W38,disputed,58.53,critical,0.4084,Critical (>30%)
PAY000015250,ORD000019545,S00289,4667.43,2056.88,1,2610.55,2023-04-29 04:44:00,W17,disputed,55.93,critical,0.4084,Critical (>30%)
PAY000087982,ORD000112616,S00463,2234.59,925.51,1,1309.08,2024-03-11 22:58:00,W11,disputed,58.58,critical,0.4084,Critical (>30%)
PAY000057586,ORD000073688,S00299,4904.23,2175.11,1,2729.12,2023-11-14 14:15:00,W46,disputed,55.65,critical,0.4081,Critical (>30%)
PAY000032145,ORD000041202,S00004,4039.8,1756.54,1,2283.26,2024-04-21 21:38:00,W16,disputed,56.52,critical,0.4079,Critical (>30%)
PAY000050850,ORD000065120,S00295,1622.7,662.51,1,960.19,2023-09-28 05:54:00,W39,disputed,59.17,critical,0.4076,Critical (>30%)
PAY000108577,ORD000138965,S00321,3785.87,1637.76,1,2148.11,2023-02-04 11:57:00,W5,disputed,56.74,critical,0.4075,Critical (>30%)
PAY000082250,ORD000105302,S00151,2562.44,1074.49,1,1487.95,2024-05-22 00:36:00,W21,disputed,58.07,critical,0.4074,Critical (>30%)
PAY000021806,ORD000027926,S00200,1433.24,583.12,1,850.12,2024-03-02 03:37:00,W9,disputed,59.31,critical,0.407,Critical (>30%)
PAY000058807,ORD000075250,S00025,2612.63,1098.32,1,1514.31,2024-01-18 00:13:00,W3,disputed,57.96,critical,0.407,Critical (>30%)
PAY000078629,ORD000100660,S00110,12701.0,6541.93,1,6159.07,2024-06-19 22:24:00,W25,disputed,48.49,critical,0.407,Critical (>30%)
PAY000009534,ORD000012239,S00331,1013.2,407.5,1,605.7,2023-10-13 15:07:00,W41,disputed,59.78,critical,0.4068,Critical (>30%)
PAY000013991,ORD000017929,S00222,1376.82,559.75,1,817.07,2024-03-25 08:42:00,W13,disputed,59.34,critical,0.4068,Critical (>30%)
PAY000016715,ORD000021434,S00225,969.69,390.08,1,579.61,2024-05-27 03:52:00,W22,disputed,59.77,critical,0.4064,Critical (>30%)
PAY000082487,ORD000105593,S00072,2288.71,956.73,1,1331.98,2023-02-05 11:19:00,W5,disputed,58.2,critical,0.4062,Critical (>30%)
PAY000044888,ORD000057441,S00414,2511.87,1057.2,1,1454.67,2023-07-15 04:05:00,W28,disputed,57.91,critical,0.4059,Critical (>30%)
PAY000109375,ORD000139995,S00268,922.55,371.41,1,551.14,2023-03-29 04:57:00,W13,disputed,59.74,critical,0.4058,Critical (>30%)
PAY000027841,ORD000035688,S00313,11715.03,5958.69,1,5756.34,2023-08-21 19:57:00,W34,disputed,49.14,critical,0.4058,Critical (>30%)
PAY000085525,ORD000109488,S00408,2750.25,1165.89,1,1584.36,2024-02-20 18:46:00,W8,disputed,57.61,critical,0.4057,Critical (>30%)
PAY000028460,ORD000036477,S00458,857.41,344.87,1,512.54,2023-06-10 01:09:00,W23,disputed,59.78,critical,0.4056,Critical (>30%)
PAY000088774,ORD000113641,S00307,2123.07,885.56,1,1237.51,2024-03-21 02:40:00,W12,disputed,58.29,critical,0.4055,Critical (>30%)
PAY000052638,ORD000067371,S00249,5337.76,2410.18,1,2927.58,2023-02-27 16:34:00,W9,disputed,54.85,critical,0.4055,Critical (>30%)
PAY000114100,ORD000146065,S00307,1400.27,572.62,1,827.65,2023-03-15 12:47:00,W11,disputed,59.11,critical,0.4054,Critical (>30%)
PAY000011368,ORD000014543,S00195,2774.55,1178.15,1,1596.4,2024-02-28 23:02:00,W9,disputed,57.54,critical,0.4053,Critical (>30%)
PAY000057301,ORD000073317,S00478,937.84,379.03,1,558.81,2023-11-24 17:35:00,W47,disputed,59.58,critical,0.4049,Critical (>30%)
PAY000084916,ORD000108702,S00447,1038.53,420.99,1,617.54,2024-06-24 16:39:00,W26,disputed,59.46,critical,0.4049,Critical (>30%)
PAY000023110,ORD000029584,S00287,4653.36,2073.13,1,2580.23,2023-12-30 04:11:00,W52,disputed,55.45,critical,0.4048,Critical (>30%)
PAY000014858,ORD000019043,S00339,3185.16,1370.11,1,1815.05,2023-09-15 01:30:00,W37,disputed,56.98,critical,0.4046,Critical (>30%)
PAY000017760,ORD000022771,S00227,3382.65,1462.35,1,1920.3,2024-03-07 21:13:00,W10,disputed,56.77,critical,0.4046,Critical (>30%)
PAY000111515,ORD000142757,S00205,1619.91,668.74,1,951.17,2024-01-16 13:47:00,W3,disputed,58.72,critical,0.4045,Critical (>30%)
PAY000022948,ORD000029374,S00328,1158.09,471.64,1,686.45,2024-06-12 07:20:00,W24,disputed,59.27,critical,0.4045,Critical (>30%)
PAY000075157,ORD000096170,S00195,1008.01,408.91,1,599.1,2024-04-29 14:52:00,W18,disputed,59.43,critical,0.4044,Critical (>30%)
PAY000000891,ORD000001135,S00324,2804.31,1196.25,1,1608.06,2024-06-15 01:25:00,W24,disputed,57.34,critical,0.4042,Critical (>30%)
PAY000035188,ORD000045097,S00147,6422.82,2979.4,1,3443.42,2024-05-06 01:44:00,W19,disputed,53.61,critical,0.4042,Critical (>30%)
PAY000110056,ORD000140883,S00428,3507.13,1524.06,1,1983.07,2024-02-25 19:34:00,W8,disputed,56.54,critical,0.4039,Critical (>30%)
PAY000017021,ORD000021827,S00344,981.69,398.74,1,582.95,2023-11-17 01:45:00,W46,disputed,59.38,critical,0.4039,Critical (>30%)
PAY000082869,ORD000106079,S00387,973.66,395.69,1,577.97,2023-12-20 18:34:00,W51,disputed,59.36,critical,0.4037,Critical (>30%)
PAY000019164,ORD000024545,S00290,947.24,385.02,1,562.22,2023-10-10 14:46:00,W41,disputed,59.35,critical,0.4034,Critical (>30%)
PAY000104913,ORD000134277,S00091,734.46,296.75,1,437.71,2023-05-09 14:23:00,W19,disputed,59.6,critical,0.4033,Critical (>30%)
PAY000011644,ORD000014899,S00422,1372.47,565.25,1,807.22,2023-08-25 12:19:00,W34,disputed,58.82,critical,0.4032,Critical (>30%)
PAY000103720,ORD000132749,S00075,3567.06,1557.89,1,2009.17,2024-05-11 17:04:00,W19,disputed,56.33,critical,0.4029,Critical (>30%)
PAY000091122,ORD000116607,S00030,2700.25,1154.19,1,1546.06,2023-05-08 03:21:00,W19,disputed,57.26,critical,0.4028,Critical (>30%)
PAY000102888,ORD000131685,S00047,688.03,278.19,1,409.84,2023-01-28 18:26:00,W4,disputed,59.57,critical,0.4028,Critical (>30%)
PAY000095890,ORD000122767,S00140,8531.9,4142.12,1,4389.78,2024-06-02 19:44:00,W22,disputed,51.45,critical,0.4027,Critical (>30%)
PAY000004560,ORD000005817,S00038,8310.18,4019.22,1,4290.96,2023-01-25 18:17:00,W4,disputed,51.63,critical,0.4025,Critical (>30%)
PAY000061719,ORD000078973,S00328,1428.49,590.65,1,837.84,2023-11-23 02:38:00,W47,disputed,58.65,critical,0.4024,Critical (>30%)
PAY000097315,ORD000124627,S00275,317.48,127.15,1,190.33,2024-05-06 14:59:00,W19,disputed,59.95,critical,0.4023,Critical (>30%)
PAY000103845,ORD000132910,S00328,1534.3,636.77,1,897.53,2023-07-07 21:53:00,W27,disputed,58.5,critical,0.4023,Critical (>30%)
